Tú tomarás.,Nde pejapyhyt.
Ellas molestan.,Ha'ekuéra oko'õ.
Ella tomaba.,Ha'e opyhymi.
Ellos no piensan vuestras piedras.,Ha'ekuéra nojepy'amongetai pende itakuéra.
Él no pudo.,Ha'e ndopojáirikuri.
Vosotras echáis estos chicos.,Peẽ pepoi ã mitã'ikuéra.
Yo no abrí con aquellas alturas.,Che ndape'aikuri umi yvatekuekuérandi.
Vosotras no ofrecisteis.,Peẽ napekuave'ẽikuri.
Él no persiguió esa vivienda a aquel preso.,Ha'e nomoñaikuri upe tekoha aipo ñemoka'irãime.
Ellas no flagelan esas ondas.,Ha'ekuéra nombyapei umi yapenokuéra.
Nosotros metíamos.,Ore romoingemi.
Ellos no emplearon.,Ndoporuikuri hikuái.
Nosotras guiaremos estas conciencias.,Ore romboguatat ã py'akuéra.
Nosotras explotamos para esos contemporáneos.,Ore rokapukuri umi javeguakuéra g̃uarã.
Nosotras explotamos para esos contemporáneos.,Ñande japu umi javeguakuéra g̃uarã.
Vosotros pondréis.,Peẽ pemohendat.
Ella no compone.,Ha'e nomoporãi.
Ellas dirigieron.,Ha'ekuéra osãmbyhykuri.
Vos necesitabas en aquellas falsedades.,Nde pekotevẽmi umi tovameguãnguérape.
Él no pasó.,Ha'e ndoropojáirikuri.
Ellas fallecían.,Ha'ekuéra omanomi.
Vos no vences desde los carácteres.,Nde ndapepu'akai rekokuéra guive.
Ella no descendió esos oradores.,Ha'e ndoguejyikuri umi jejuru'óvakuéra.
Vos no ubicaste.,Nde napemohendaikuri.
Vosotros ofrecisteis.,Peẽ peropojáikuri.
Vosotros partíais.,Peẽ pejumi.
Vosotros acogíais.,Peẽ pemoguahẽmi.
Él traslada.,Ha'e orova.
Yo no estallé.,Che ndasoroikuri.
Nosotras ubicaremos.,Ore romohendat.
Tú nadaste.,Nde re'ytakuri.
Él adelantará.,Ha'e omotenondet.
Tú no viniste hasta nuestras leyes.,Nde ndapeuikuri ore tembiapoukapykuéra meve.
Tú no movilizaste.,Nde napemongu'eikuri.
Vosotros haréis en aquella ejecutora.,Peẽ pemba'apot amo apoharepe.
Ellas parieron las garantías para estos fundadores.,Omembykuri g̃uarã jeroviaukakuéra g̃uarãhikuái ko'ã mopu'ãhárakuéra.
Ellos no rodearán.,Nombohokáirit hikuái.
Tú comenzabas.,Nde pemoñepyrũmi.
Vos no reducirás.,Nde napemombykyit.
Ella escuchaba estas vecinas.,Ha'e ojapysakami ko'ã ogaykepeguakuéra.
Vos acompañabas esta campaña.,Nde pemoirũmi ko okára.
Él no preserva nuestros buitres a vuestro plato.,Ha'e noñomiri ñande karakarakuéra pene ña'ẽmbepe.
Vos pensarás.,Nde peñanga'ut.
Ella quedaba.,Ha'e opytami.
Ellas tomarán.,Ha'ekuéra opo'ot.
Ellas no desarrollaron.,Ha'ekuéra nomongakuaaikuri.
Nosotros no cambiamos.,Ñande nañambohekoikuri.
Nosotros no cambiamos.,Ore norombohekoi.
Yo no desarrollo.,Che namongakuaai.
Vosotros enfrentasteis.,Peẽ pembohovakekuri.
Yo no alegraba sobre vuestras crecidas.,Che naporombovy'aimi pene ysyrysẽnguéra ári.
Vosotras saltasteis.,Peẽ pepokuri.
Vos no extenderás.,Nde ndapepysoit.
Yo conduje sobre aquellas penas.,Che asãmbyhykuri umi jepy'apykuéra ári.
Nosotros pincharemos.,Ñande ñapichãit.
Ellos no dirigieron vuestra apropiación a esas posiciones.,Ha'ekuéra nosãmbyhyikuri pene ñemomba'e umi ñemoĩnguérape.
Ellos no dirigieron vuestra apropiación a esas posiciones.,Ha'ekuéra nosãmbyhyikuri pene ñemomba'e umi ñeĩhakuérape.
Vosotros escupiréis.,Peẽ pendyvut.
Nosotros salimos.,Ñande ñasẽkuri.
Nosotros salimos.,Ore rosẽ.
Ellos no entregaban con nuestro puerto.,Ha'ekuéra nome'ẽimi ore ygarupandi.
Él no ahonda.,Ha'e nombohypyi.
Vosotros avivaréis nuestras suertes.,Peẽ pemborarit ñande po'akuéra.
Nosotras no encajábamos.,Ñande nañakuapytĩrimi.
Yo ligaré con la conversación.,Che ambojoajut ñe'ẽ ndive.
Él brilló.,Ha'e omimbikuri.
Él no iba.,Ha'e ndohoimi.
Ella no ofrecerá estas cosechas.,Ha'e nokuave'ẽit ko'ã temitỹnguekuéra.
Él vivía.,Ha'e oikomi.
Él seguía la alumna de las combinaciones.,Ha'e omuñami temimbo'e joparakuéragua.
Yo no colocaba nuestro agradecimiento.,Che nakuapytĩrimi ore jehechakuaa.
Vosotras no abrís nuestro seguidor.,Peẽ ndapepe'ai ñande rapykuerigua.
Ella mantendrá.,Ha'e orekot.
Ellos no intervinieron.,Noñemoingeikuri hikuái.
Nosotros no costamos aquellos derrumbes a esas cercas.,Ñande ndajavalei umi jeitykuéra umi mongorahakuérape.
Nosotros no costamos aquellos derrumbes a esas cercas.,Ñande ndajavaleikuri umi jeitykuéra umi mongorahakuérape.
Nosotros no costamos aquellos derrumbes a esas cercas.,Ñande ndajavalei umi jeitykuéra umi mongorahakuérape.
Nosotros no costamos aquellos derrumbes a esas cercas.,Ore ndorovaleikuri umi jeitykuéra umi mongorahakuérape.
Él no escapó aquellas balanzas.,Ha'e ndopykúirikuri umi ha'ãhakuéra.
Ellos no tomaban.,Ndehoi'uimi hikuái.
Vosotras despegaréis.,Peẽ pejupit.
Vosotras divertís esa trabajadora.,Peẽ pembovy'a upe tembiapohára.
Nosotros flotábamos.,Ore rovevúimi.
Él convertirá.,Ha'e ombovat.
Ellos gustaban.,Okumbymi hikuái.
Vosotros no fallecisteis en vuestro tío.,Peẽ napemanoikuri pende tiope.
Él pronunciará los horizontes para el amo.,Ha'e ho'ytat ararembekuéra karai g̃uarã.
Ellas revisarán vuestra doctora a vuestro hijastro.,Opoguyguyt membyangape pene pohanohára membyangapehikuái pene.
Nosotros portamos.,Ore rorukuri.
Nosotros portamos.,Ñande jaguereko.
Vosotros no hacíais.,Peẽ napemba'apoimi.
Yo no traté.,Che nañemuikuri.
Ellas no comenzaban ese cruce.,Noñepyrũimi hikuái ku juasa.
Ellos vivían.,Ha'ekuéra oikovemi.
Nosotras no perdíamos.,Ore noromokañyimi.
Vosotros ofrecisteis.,Peẽ pekuave'ẽkuri.
Yo grababa aquellos días.,Che amoha'angami umi árakuéra.
Él no mueve las añoranzas a esa desfachatez.,Ha'e nomongu'ei techasekuéra upe tova'atãme.
Yo llevaba.,Che arahami.
Tú no mantuviste.,Nde ndaperekoikuri.
Tú atemorizabas nuestra justicia.,Nde pemondýimi ñande tekojoja.
Yo valdré.,Che avalet.
Vosotros subisteis para vuestra prisión.,Peẽ pejupikuri pende pysy g̃uarã.
Ellos no entregaron.,Ha'ekuéra nombopojáirikuri.
Ella saltó.,Ha'e opokuri.
Él no expresaba.,Ha'e ndeho'yitami.
Nosotros volamos por aquella memoria.,Ñande javevekuri ako akangatu rehe.
Nosotros volamos por aquella memoria.,Ore rotutu aipo py'aho rehe.
Ellos pelean aquella licencia.,Oñombuepoti ako sãso hikuái.
Nosotras crecíamos esos logros.,Ore rokakuaami umi tupytykuéra.
Vosotros demoráis.,Peẽ pembopuku.
Nosotras ofreceremos.,Ore rokuave'ẽt.
Ella no atiende aquellos días.,Ha'e ndojapysakai umi árakuéra.
Nosotras detuvimos de nuestra sopa.,Ore romombytakuri ñande jukysygua.
Vosotros mudáis.,Peẽ perova.
Ella difiere a nuestros universos.,Ha'e ombohasa ñande arapykuérape.
Nosotras abríamos.,Ore rope'ami.
Tú celebrarás nuestro hurto.,Nde perohoryt ñane ñemonda.
Nosotras estaremos.,Ñande ñaĩt.
Ella no felicitaba nuestro bache.,Ha'e ndoguerohoryimi ñande yvykua.
Ella escapa.,Ha'e otutu.
Vosotros no tomáis.,Peẽ napekuãchaĩri.
Tú luchabas.,Nde peñorairõmi.
Tú no hallaste.,Nde ndapejuhuikuri.
Nosotros no celebramos este lazo.,Ñande ndajaropurahéiri ko joaju.
Nosotros no celebramos este lazo.,Ñande ndajarohoryikuri ko kytã.
Yo revelaba vuestras madres.,Che amombe'umi pende sykuéra.
Ellos no escapaban.,Ha'ekuéra ndotutuimi.
Nosotras presentamos a aquel borde.,Ore roguerukuri amo tembe'ype.
Nosotras presentamos a aquel borde.,Ñande jaru amo tembepe.
Ellas dormían.,Ha'ekuéra okemi.
Ellos benefician las fortunas.,Opojopy po'akuéra hikuái.
Tú no participaste.,Nde napemomaranduikuri.
Vosotros trataréis.,Peẽ peñe'ẽt.
Nosotros descendimos.,Ñande jaguejykuri.
Ellas no establecían.,Ha'ekuéra nomohendaimi.
Vosotros no subsistiréis.,Peẽ ndapeikoveit.
Ellas tenían vuestros júbilos.,Ha'ekuéra oguerekomi pende torykuéra.
Él encontró.,Ha'e ojohukuri.
Él no peleaba.,Ha'e noñorairõimi.
Vosotros no morís.,Peẽ ndapearapai.
Vosotros ubicasteis.,Peẽ pemohendakuri.
Vosotras dependéis.,Peẽ pesaingo.
Nosotros remunerábamos el escrito a aquellos sigilos.,Ñande ñambopopeguami kuatia umi kirirĩnguérape.
Tú no referías nuestro tramo.,Nde ndapekuaaukaimi ore pehẽngue.
Ellas paran por esta firma.,Omombyta teraguapyre teraguapyrehikuái ko.
Vosotros entendisteis.,Peẽ peñe'ẽkumbykuri.
Tú cargarás aquellas solidaridades.,Nde pemyenyhẽt umi ñepytyvõnguéra.
Vosotros sumabais.,Peẽ pepapami.
Yo no intenté aquel futuro.,Che nañeha'ãikuri ako tenondegua.
Vosotras precisasteis.,Peẽ pekotevẽkuri.
Ella no guardaba este rumor.,Ha'e noñongatuimi ko terakuã.
Ella no actúa.,Ha'e nomba'apoi.
Vosotros admiráis la palabra.,Peẽ pemomorã ñe'ẽ.
Tú sustrajiste.,Nde penohẽkuri.
Vosotras reducís aquellos almuerzos.,Peẽ pemombyky umi karukuéra.
Tú no repones el placer.,Nde napemyengoviai vy'a.
Ellos escurrirán.,Ha'ekuéra ombosyryt.
Tú no cambiarás.,Nde napembojereit.
Vos no cedías.,Nde napeme'ẽimi.
Ellos hacían nuestra tina.,Ojapomi ñane ña'ẽ hikuái.
Nosotros no gozamos.,Ñande ndajaroryikuri.
Nosotros no gozamos.,Ñande ndajavy'ai.
Vosotras crecíais su adolescente sobre vuestra arrogancia.,Peẽ pepu'ãmi imitãrusu pene ñembotuicha ári.
Ellas no pernoctaban a aquel año.,Ha'ekuéra noñembohupaimi aipo arajerepe.
Él no chupa vuestra inundación.,Ha'e nokambui pene ysẽ.
Vos no obras.,Nde ndapekakai.
Vosotros no desarrollaréis vuestro mirador.,Peẽ napemongakuaait pene ma'ẽha.
Ellas perdieron.,Omokañykuri hikuái.
Vosotros retornabais la nacionalización a aquella protectora.,Peẽ pejevymi ñembohetã aipo mo'ãhape.
Vosotros no conduciréis.,Peẽ napemboguatait.
Vosotras no sumergiréis.,Peẽ napembo'yguyit.
Ellos manifestarán.,Ho'ytat hikuái.
Vosotros no seguís.,Peẽ napemoñai.
Vosotros no levantasteis.,Peẽ naperopu'ãikuri.
Vos no hundes vuestra provisión.,Nde napemoñapymiri pende jegueru.
Nosotras no investigaremos.,Ñande ndajapovyvyit.
Vosotros tocáis.,Peẽ peháma.
Ellos llevarán.,Ha'ekuéra orahat.
Ellos no iban en nuestra carta.,Ha'ekuéra ndohoimi ore kuatiape.
Vosotros trascendisteis.,Peẽ peñemuasãikuri.
Tú proclamabas ese estero.,Nde pemoherakuãmi pe ypeguaho.
Nosotros cambiaremos las roñas hasta aquella desobediencia.,Ñande ñamoambuet ky'akuekuéra amo ñe'ẽrendu'ỹ meve.
Vosotros valdréis.,Peẽ pevalet.
Vosotros no morís.,Peẽ napemanoi.
Él prensaba nuestras cuerdas.,Ha'e omba'ejopymi ore sãnguéra.
Vos no rompes esas desocupaciones hasta aquellas fajas.,Nde napemondohoi umi ñemba'apo'ỹnguéra umi ku'asãnguéra meve.
Ella pasará.,Ha'e oakuãt.
Vosotras haréis de aquellos nexos.,Peẽ pejapot umi joapykuéragui.
Vosotros gritasteis por esas huellas.,Peẽ pesapukáikuri umi pyrũnguéra rupi.
Él no valía.,Ha'e ndovaleimi.
Él no movilizaba.,Ha'e nomongu'eimi.
Vos adornarás nuestra dádiva a vuestras visiones.,Nde pemoporãt ore ñeme'ẽ pende pórakuérape.
Ellas no operarán vuestro retrete.,Ndojapoit hikuái pende jekuaruha.
Vosotras no sumasteis.,Peẽ ndapepapaikuri.
Nosotras cortaremos a estos vahos.,Ore rokytĩt ã tatatĩnguérape.
Ellos abrazaron.,Ha'ekuéra oñuvãkuri.
Ellos proseguirán.,Ojapovet hikuái.
Vosotras habíais nuestro cerebro.,Peẽ peimemi ñane apytu'ũ.
Vosotras cargáis vuestras armas a esa discrepancia.,Peẽ pemyenyhẽ pende pojoapykuéra ku joavype.
Ellas radican a vuestras juntas.,Ombohapo joajukuérape joajukuérapehikuái pende.
Vosotros acercáis.,Peẽ peroja.
Nosotros callamos.,Ñande ñarokirirĩkuri.
Nosotros callamos.,Ore rorokirirĩ.
Nosotras no abrimos.,Ñande ndajapevuikuri.
Nosotras no abrimos.,Ñande nañamboty'oi.
Tú presentaste.,Nde perukuri.
Ellos gozaban.,Ha'ekuéra ovy'ami.
Él jugaba.,Ha'e ombojarumi.
Tú no realizarás nuestros comunicadores.,Nde ndapejapoit ñane mbohasahárakuéra.
Ellas cambiarán.,Omongoviat hikuái.
Ella lloverá.,Ha'e okyt.
Vosotros no simularéis los cines de aquella vanguardia.,Peẽ ndapejejapoit ta'angamýikuéra amo tenondeguagua.
Vos no huyes.,Nde ndapeguariri.
Él no agoniza.,Ha'e nomanombotai.
Yo tomé.,Che ajapyhykuri.
Ellas expresarán.,Ha'ekuéra ho'ytat.
Vosotras no venerasteis esa barba.,Peẽ napemomba'eguasuikuri upe tendyva.
Tú no negociabas esos amores.,Nde napeñemuimi umi tayhukuéra.
Tú no prestaste.,Nde ndapeporukaikuri.
Vosotros no encontrabais vuestro mando hasta nuestra protección.,Peẽ ndapejuhuimi pende poguy ñane ñepytyvõ meve.
Vosotras volvéis.,Peẽ pejevy.
Nosotros ordenamos los perseguidores.,Ñande ñamohenda moñahárakuéra.
Nosotros ordenamos los perseguidores.,Ñande jajapoukakuri moñahárakuéra.
Nosotras no reconocíamos desde aquella víbora.,Ñande ndajakuaaimi amo mbói guive.
Tú no parías esos traslados.,Nde napemembyimi umi jerovakuéra.
Yo no enrollaba la espera.,Che namboapakuaimi ñeha'arõ.
Él atenderá este lodazal.,Ha'e ojapysakat ko apasusũ.
Vosotros no triunfaréis para ese traslado.,Peẽ ndapepu'akaveit ku jerova g̃uarã.
Vos no estallas.,Nde ndapepui.
Tú brillas.,Nde pevera.
Ellas no entenderán.,Ha'ekuéra noñe'ẽkumbyit.
Nosotras no habitábamos.,Ñande ndajaikoimi.
Tú no acostumbrabas este ancho.,Nde ndapepokuaaimi ko pekue.
Nosotros no tendremos nuestras licencias.,Ñande ndajaguerekoit ore sãsokuéra.
Vos pernoctaste.,Nde peñembohupakuri.
Ella no salta.,Ha'e ndopopoi.
Ellas no lamentan.,Ha'ekuéra norombyasyi.
Nosotras proveníamos desde sus partes.,Ore roñemboypymi imarandukuéra guive.
Él pasaba.,Ha'e oikovemi.
Ella no burlaba.,Ha'e nombotavyimi.
Vosotros no recuperaréis.,Peẽ ndaperojevyit.
Vos pasaste esa oradora a esta bufona.,Nde peikovekuri upe jejuru'óva ko toryjárape.
Vos pasaste esa oradora a esta bufona.,Nde peikokuri ku jejuru'óva ko toryjárape.
Tú no dispones.,Nde napemoĩri.
Vosotros vivís.,Peẽ peiko.
Nosotros salíamos desde vuestra muestra.,Ñande ñasẽmi pende jehechauka guive.
Él no desaparecerá al recorrido.,Ha'e noñemirit guatahape.
Tú no acabarás.,Nde ndapepait.
Ellos cuidarán por este día.,Oñangarekot hikuái ko ára rehe.
Yo no beneficiaba aquella rodaja.,Che ndapojopyimi ako vore.
Él no mantenía.,Ha'e ndorekoimi.
Ellos no creen las escrituras.,Ndoroviai taipykuéra hikuái.
Ella no embalaba esos signos a esta noche.,Ha'e nomboapakuaimi umi techaukahakuéra ko pyharekuepe.
Ella no volaba a vuestra enfermedad.,Ha'e ndoveveimi pene mba'asype.
Ella descuidaba.,Ha'e oñangareko'ỹmi.
Vosotras cambiaréis.,Peẽ pembojeret.
Vosotros establecíais con vuestra cuca.,Peẽ pemohendami pende póra ndive.
Nosotros acercábamos.,Ore rorojami.
Nosotros no pudimos.,Ñande ndajapojáirikuri.
Yo no gusté hasta estas quemas.,Che nakumbyikuri ã jehapykuéra peve.
Tú sembrabas esa tolerancia con aquel ladrón.,Nde peñotỹmi upe jeheja aipo povevúi ndive.
Ellas sumaban.,Ha'ekuéra opapami.
Ella partirá.,Ha'e ombosa'it.
Vos no tocaste.,Nde ndapepokoikuri.
Vos sobresalías.,Nde pepu'ãmi.
Nosotras velamos en esta subalterna.,Ñande ñamamakuri ko poguypeguape.
Nosotras velamos en esta subalterna.,Ñande jajaho'i ko poguypeguape.
Nosotras no valemos.,Ore ndorovalei.
Él prenderá esa mercadería.,Ha'e opyhyt ku temiñemu.
Ellas privan.,Ha'ekuéra ope'a.
Ellos no saludan vuestra desdicha desde estos enlaces.,Ha'ekuéra nomomaiteiri pene vy'a'ỹ ã joajukuéra guive.
Vos estableces.,Nde pemohenda.
Nosotras no pronunciamos las imposiciones.,Ñande ndero'yita jejopykuéra.
Nosotras no pronunciamos las imposiciones.,Ñande ndeja'yitakuri jejopykuéra.
Ellas precisan aquellos pescados con aquellos años.,Ha'ekuéra okotevẽ umi pirakuéra umi arajerekuérandi.
Nosotros no encaminamos.,Ore norombohapeikuri.
Nosotros no encaminamos.,Ñande nañambohapei.
Ellos no vendrán.,Ha'ekuéra ndouit.
Nosotros no demorábamos.,Ore norombopukuimi.
Él enaltecerá la modalidad.,Ha'e omohu'ãt teko.
Vosotros no tendisteis aquella marca.,Peẽ napemosaingoikuri aipo pore.
Él creía.,Ha'e ogueroviami.
Vos mirarás.,Nde pema'ẽt.
Él hacía los perdones.,Ha'e omba'apomi ñeñyrõnguéra.
Él no habló.,Ha'e noñemongetaikuri.
Tú atajaste nuestra estima.,Nde pejokokuri ore porãngareko.
Yo no existiré.,Che naimeit.
Vosotros seguisteis en esos paradores.,Peẽ pemuñakuri umi ñeguahẽhakuérape.
Ellos no limitaron.,Nomboapýraikuri hikuái.
Nosotros no despiojábamos aquellas seguidoras.,Ore ndorokyrekaimi umi rapykueriguakuéra.
Nosotras trabajaremos.,Ñande ñamba'apot.
Yo no reto aquellas faces a vuestras reducciones.,Che ndajapetei umi hekuakuéra pene ñemomichĩnguérape.
Nosotras no ahondamos.,Ore norombohypyikuri.
Nosotras no ahondamos.,Ñande nañambohypyi.
Vosotros no adelantaréis.,Peẽ napemotenondeit.
Vos mirabas.,Nde pema'ẽmi.
Vosotras pellizcabais nuestra zanja.,Peẽ pepichãimi ore yvy'ã.
Tú no fracasaste.,Nde ndapejavyikuri.
Ellos no tienen.,Ha'ekuéra ndoguerekoi.
Él promoverá estas cercas desde el respeto.,Ha'e omotenondet ko'ã mongorahakuéra ñakãity guive.
Vos denominaste ese superior.,Nde pembohérakuri ku ruvicha.
Vosotras no retornasteis esa urgencia a estas lenguas.,Peẽ ndapejevyikuri upe tagẽ ko'ã kũnguérape.
Vosotros esperáis.,Peẽ pejerovia.
Tú uniste de estos respetos.,Nde pembojoajukuri ko'ã ñeñakãitykuéragui.
Ellas harán hasta esas prensas.,Omba'apot peve pevehikuái umi jopyhakuéra.
Nosotras no hablaremos.,Ore noroñemongetait.
Ellas referían sobre nuestros mandatos.,Ha'ekuéra okuaaukami ore tembiapoukapykuéra ári.
Nosotros participamos para nuestra llama.,Ore romomarandukuri ñane tendy g̃uarã.
Nosotros participamos para nuestra llama.,Ñande ñamomarandu ñane tendy g̃uarã.
Tú trabajarás.,Nde pemba'apot.
Vosotras tratabais.,Peẽ peñe'ẽmi.
Tú sumarás.,Nde pepapat.
Yo giraba.,Che ajeremi.
Vos manifiestas.,Nde re'yta.
Vosotros no entendíais.,Peẽ napekumbyimi.
Nosotras no enlazaremos.,Ore ndorojurait.
Ella no dirigía.,Ha'e nosãmbyhyimi.
Yo no aguanté de nuestras conciencias.,Che ndapytasoikuri ñande py'akuéragui.
Nosotras colorearemos vuestro turno en nuestra fruta.,Ore rombosa'yt pende ha ñande ‘ape.
Tú ejecutas esta imagen.,Nde pejuka ko ta'anga.
Él no arreglaba esas administradoras.,Ha'e nomyatyrõimi umi ñangarekohárakuéra.
Nosotras no hallaremos.,Ñande ndajajuhuit.
Él no hería las protestas.,Ha'e ndokutuimi ñe'ẽngurukuéra.
Vosotros no sanasteis.,Peẽ napemohesãirikuri.
Tú estimabas las prójimas.,Nde pejeroviami tapichakuéra.
Tú accedías.,Nde pemboajemi.
Ella insiste.,Ha'e otu'u.
Vosotras no valisteis.,Peẽ ndapevaleikuri.
Ella no partía.,Ha'e ndojehekýirimi.
Vosotras no prepararéis.,Peẽ ndapesako'irit.
Nosotras coincidiremos.,Ñande ñañe'ẽjojat.
Él no comunicó de estas inquietudes.,Ha'e nomomaranduikuri ko'ã angekóikuéragua.
Él no permitía ese temblor.,Ha'e nomboajeimi pe sysýi.
Vos no pasas.,Nde napeakuãi.
Él no abortará.,Ha'e nomembykuait.
Él no despojó nuestra periferia.,Ha'e nomondaikuri ñande jere.
Él no calma vuestro puesto desde vuestro puente.,Ha'e nomombytu'ui pende koty'i pende vovo guive.
Tú leías.,Nde pemoñe'ẽmi.
Tú pones.,Nde pemohenda.
Nosotras centramos estas salvas.,Ñande ñamombyte ko'ã mbokapukuéra.
Nosotras centramos estas salvas.,Ñande ñamombytekuri ã mbokapukuéra.
Vosotras no acontecéis.,Peẽ ndapejehui.
Tú empleabas nuestras canciones del insecto.,Nde peporumi ñande guahukuéra moñáigui.
Ellas no encaminan.,Ha'ekuéra nomboguatai.
Vosotras tendréis.,Peẽ perekot.
Ella no encontró desde esa hebra.,Ha'e ndojohuikuri ku tyvi guive.
Él no portó.,Ha'e ndoruikuri.
Yo obro.,Che amba'apo.
Yo retrocedía esa parcialidad.,Che ajevymi ku joja'ỹ.
Vosotras estabais.,Peẽ peimemi.
Él no pasa.,Ha'e nombohasai.
Yo no cuido.,Che nañangarekoi.
Yo no incendiaré esa persecución de aquel buitre.,Che ndakáirit ku moña aipo yryvugui.
Ellas expresarán.,Ho'ytat hikuái.
Ellas expresaban aquel vendedor a este hongo.,Ha'ekuéra ho'ytami amo ñemuhára ko urupepe.
Él no moderaba vuestra descontenta.,Ha'e nombohekoporãimi pene vy'a'ỹ.
Yo beneficiaré nuestras diferencias.,Che apojopyt ore tembijoavykuéra.
Vosotras levantáis.,Peẽ pemopu'ã.
Nosotras no deducíamos esa mosca para esta dignidad.,Ñande nañanohẽimi upe mberu ko marangatukue g̃uarã.
Tú no dispondrás nuestra subida a nuestra basura.,Nde napemoĩrit ñane mba'epu'ã ñande ytype.
Vosotros no trabajasteis aquellos burros.,Peẽ napemba'apoikuri umi mburikakuéra.
Ella unía.,Ha'e oñopẽmi.
Ella propagaba.,Ha'e orosapukáimi.
Nosotras seguíamos nuestros medios.,Ñande ñamuñami ore ku'akuéra.
Ellos no corrían.,Ndosyryimi hikuái.
Vos abundabas con aquellas opositoras.,Nde pemumumi umi mbohováivakuérandi.
Nosotros no comprometimos.,Ñande nañaporoapytĩrikuri.
Yo no agarraba.,Che ndapojáirimi.
Nosotros no regresamos con esa esposa.,Ñande ndajajereikuri ku ména ndive.
