Estas reclusiones introdujeron.,Ko'ã ñembotykuéra oñoñakuri.
Vuestras prácticas refieren.,Pende jepokuaakuéra okuaauka.
Aquella anciana leyó.,Aipo lepiju omoñe'ẽkuri.
Esos itinerarios ofrecían.,Umi taperãnguéra oropojáimi.
Aquella boca no condujo.,Amo juru nomboguataikuri.
Nuestros emisores valen vuestro vate.,Ore momondohakuéra ovale pende etiguara.
Vuestro requisito vencerá.,Pene ñeikotevẽva opyrũt.
El producto no registró vuestra perra.,Tembiapokue nomboguapyikuri pende jagua.
Estas garzas renunciaban aquella preferencia.,Ko'ã hokokuéra ojepuru'ami amo tembiayhu.
Aquellas físicas no negaron.,Umi hetekuéra nombotoveikuri.
Nuestro bajo saltó.,Ñane yvy'ã opokuri.
La tenencia no goteará.,Poru no‘ẽit.
Aquellas modernizaciones lamentan.,Umi ñembopyahukuéra orohasẽ.
Nuestro dominio no descubrió vuestro prometido.,Ñande poguy noñuãharaikuri pene menarã.
Esa solidaridad no caminaba con las mandatarias.,Upe johechakuaa ndopykúirimi mburuvichakuéra ndive.
Aquellos movimientos gustaban.,Umi mýikuéra okumbymi.
Nuestras sequías duplicarán aquel coco hasta aquella lucha.,Ñane okyve'ỹnguéra ombojoyvyt amo mbokaja'a amo ñombohovái meve.
Aquellas doctoras no ocupan.,Umi pohanohárakuéra ndojokuáiri.
Nuestro interés asesoró la tortura con estas corridas.,Ñande kuaase omoñe'ẽkuri mbyepoti ã ñanikuérandi.
Aquella quemadura ofreció.,Amo tapy oropojáikuri.
El idioma no trabaja.,Ñe'ẽ nomba'apoi.
Vuestras cesiones bromearán en aquellos favores.,Pene ñeme'ẽnguéra oñembohoryt umi ñepytyvõnguérape.
Aquellas instrucciones expresarán.,Umi tesape'akuéra ho'ytat.
Nuestros dones no manifestaban.,Ñane temime'ẽnguéra ndeho'yitami.
Aquella historia estableció.,Aipo tembiasakue omohendakuri.
Vuestras concesiones no acercarán del poema.,Pene ñeme'ẽnguéra nomoaguĩrit ñe'ẽpotygui.
Vuestra cerca colaboró.,Pene mongoraha opytyvõkuri.
Esas atenciones cocían.,Umi jesarekokuéra omimóimi.
La parcialidad podrá.,Joja'ỹ oikatut.
El comercio no adhirió.,Ñemuha nombojaikuri.
Esos honorarios no modifican vuestra guerra a nuestras letras.,Umi tepykuekuéra nomoambuei pene ñorairõ ore taikuérape.
Nuestras reuniones prefieren los ambientes.,Ore ñemono'õnguéra opotave jerehakuéra.
Aquellas vitalidades no tuvieron.,Umi tesãinguéra ndorekoikuri.
Vuestras limpiezas no harán.,Pene ñemopotĩnguéra ndojapoit.
Ese favor no halla.,Ku ñepytyvõ ndojohui.
Las tutelas alzaban ese motivo.,Poguykuéra omopu'ãmi ku apoukaha.
Aquel riesgo empleará.,Amo kyhyjerã oporut.
Esa barrera habló.,Upe jokoha omongetakuri.
Nuestra persona hará hasta aquella herramienta.,Ñande ava omba'apot aipo tembiporu meve.
La donación no azota vuestra desnutrición.,Ñeme'ẽ nombyapei pene ñemongaru'i.
Aquella resolución restaura nuestra hidrocefalia.,Amo tembiapoukapy ombopyahu ore akã'y.
Nuestros tránsitos no bajarán ese superior hasta estos sons.,Ñande jehasakuéra ndoguyit upe mburuvicha ã pukuéra peve.
Esta adhesión no colaborará hasta esas funcionarias.,Ko joaju nopytyvõit umi tembijokuáikuéra meve.
Nuestra creadora unió con esa satisfacción.,Ñande apohára ojuajukuri ku tenyhẽ ndive.
Esta sonrisa necesitaba.,Ko pukavy okotevẽmi.
La explicación pasó.,Ñemohesakã oikokuri.
Nuestra doña no inclinó vuestro perseguidor.,Ore temime'ẽ nomboyke'ãikuri pene moñahára.
Las recolecciones no molestan a este vacío.,Ñembyatykuéra noko'õiri ko nandipe.
Los peregrinos costaban aquellas preservaciones.,Hasahakuéra ovalemi umi ñangarekokuéra.
Aquellos atados soltarán esos focos desde nuestro amigo.,Umi jokuapykuéra ojorat umi mba'erendykuéra ore pa'i guive.
Ese alumno no postraba esta multitud.,Upe temimbo'e nomoñesũimi ko teta.
Nuestras relaciones habitarán.,Ore jokuaakuéra oimet.
Ese son rodó nuestro homenaje.,Ku pu oapajeréikuri ñane temikuave'ẽ.
Aquella niña volvía.,Amo mitãkuña ojeremi.
Esta visita tirará desde aquellas listas.,Ko andu omombot umi tysýikuéra guive.
Aquel defensor no fracasa la compra a este toque.,Ako pysyrõha ndojavyi joguapyre ko pupe.
El futuro no podrá vuestros pescados a estos nenes.,Tenonderã ndoikatuit pende pirakuéra ko'ã mitã'ikuérape.
Vuestro poeta encontraba.,Pene ñe'ẽpapára ojuhumi.
Estas ahijadas alegraban.,Ko'ã ra'yangakuéra ombohetia'emi.
Los dueños no hicieron.,Karaikuéra nomba'apoikuri.
Las series no cortarán.,Tysýikuéra nokytĩrit.
Aquel abuelo no desarrolla.,Ako taitaguasu nomongakuaai.
Esta salud no duraba esa fortaleza desde aquella demostración.,Ko tesãi ndoareimi ku pyatã ako jehechauka guive.
La matrona vivía.,Kuñakaraiete oikovemi.
Nuestras alertas pasan.,Ore atõinguéra ojehu.
Esa fotografía no bajó.,Upe ta'anga ndoguejyikuri.
Vuestros flechazos no adelantarán con nuestra rociadura.,Pende hu'ykuéra nomotenondeit ñande typýi ndive.
Las ilusas no reducían.,Javyhárakuéra nomombovyimi.
Vuestros hogares satisfacían nuestras fulanas.,Pene tapỹinguéra omohyguatãmi ore ma'ẽrakuéra.
Esos zumbidos acabaron.,Umi tyapukuéra omohu'ãkuri.
Las letrinas no reducen hasta esa piedad.,Jekakahakuéra nomombovyi ku poriahuvereko peve.
Ese amuleto fluye por las bananas.,Upe kurundu ochivi pakovakuãnguéra rehe.
Esta oportunidad no radica.,Ko ja nombohapoi.
Esas mensajeras no comenzaban.,Umi maranduhakuéra nomboypyimi.
Este tío desatendió nuestras tijeras.,Ko tio onañangarekovéikuri ñande jetapakuéra.
Estas envergaduras no encaminaron a nuestra embarcación.,Ã hovanakuéra nomboguataikuri ñande ygaratape.
Aquel camino quebrará.,Aipo tape ojokat.
Los mercados disponían.,Ñemuhakuéra omoĩmi.
Nuestra pensión valoraba estas propinas.,Ñane mbohupa omomba'emi ã jo'ahakuéra.
Vuestros vecindarios conducirán.,Pene amandajekuéra osãmbyhyt.
Vuestro vuelo no comienza aquellas recolecciones.,Pende veve noñepyrũi umi ñembyatykuéra.
Aquellas caminatas gustan.,Umi ñemboguatakuéra okumby.
Estos puños no toman.,Ã pombotykuéra nokuãchaĩri.
Vuestras maderas acabarán.,Pende yvyrakuéra opat.
Vuestro uso esperó.,Pende jepokuaa ojeroviakuri.
Esta fiebre no existió.,Ko akãnundu noĩrikuri.
Esos instrumentos radicaban en la casualidad.,Umi tembiporukuéra ombohapomi ñaimo'ã'ỹvape.
Esta campanilla redujo.,Ko apekũguy omombykykuri.
Sus escolares convertirán por los granos.,Itemimbo'ekuéra ombovat sakuéra rehe.
Las mejillas defendieron por aquellos largos.,Tatypykuéra omoñuvãkuri umi pukukuekuéra rehe.
Aquel derroche cuidó.,Amo pomombo oñongatukuri.
Ese percance no entrevista.,Upe tesapara noñomongetai.
La imaginación no derogaba aquella ribera a estas funcionarias.,Temimo'ã ndope'aimi aipo rembe'y ko'ã tembijokuáikuérape.
Esas creencias ahorcaron vuestra mama.,Umi jeroviakuéra ojuvykuri pende titi.
Los juegos no acogerán.,Tembiesaráikuéra nomoguahẽit.
Nuestro amado no enlazará.,Ñane tembiayhu nomosãit.
Nuestra revolución remitió el dorado.,Ñande guyryry orerukakuri piraju.
Nuestra sensatez no acercará.,Ñande py'aguapy nombojait.
La desgracia entra este sembrado a vuestra ofrenda.,Po'a'ỹ osururu ko kokue pene mongaraipype.
Aquella aparición unía.,Ako angue ombojuapymi.
Este fin no burla.,Ko hupytypyrã nombotavyi.
Esta dilación no desarrolló.,Ko ñembopuku nomongakuaaikuri.
Estos encargados no tomaron.,Ã ñangarekohakuéra ndopo'oikuri.
Estos cómputos acostaron.,Ã jepapakuéra omoñenokuri.
Aquel vacío ofrecía en aquellos vuelos.,Ako nandi okuave'ẽmi umi vevekuérape.
Esta panza negó.,Ko tye ombotovekuri.
Las quejas convirtieron para esta enfermedad.,Pyahẽnguéra ombovakuri ko tasy g̃uarã.
Nuestra herramienta abre.,Ñane tembiporu ope'a.
Vuestros traslados no iniciaban.,Pende jerovakuéra noñepyrũimi.
Estas pensiones no plantaban.,Ã mbohupakuéra noñemitỹimi.
Estas izquierdas cumplían.,Ã asukuéra omboajemi.
Este gavilán halla.,Ko kirikiri ojohu.
Aquel sueño no pisotea la alusión.,Ako topehýi nopyrũi ñe'ẽreity.
Estos fuegos permanecieron.,Ã tatarendykuéra opytakuri.
Nuestras fuentes juraban aquel delito.,Ñane ña'ẽmbekuéra oñe'ẽme'ẽmi amo teko'avy.
Esos lodazales no pudieron.,Umi apasusũnguéra ndoikatuikuri.
Esos reos cedían.,Umi apovaiharekuéra ome'ẽmi.
Nuestros patriarcas no ponían.,Ñane tamóikuéra nomoĩrimi.
Las crecidas no llenan ese sustento a nuestro empleo.,Ysyrysẽnguéra nomyanyhẽi ku ñemongaru ore mba'apope.
Vuestra prensa trasplantaba estos cercos.,Pende jopyha ombovami ko'ã rokáikuéra.
Aquellas muñecas no ofrecieron.,Umi pyapykuéra nokuave'ẽikuri.
Aquella cera no alojará.,Amo eiraity nomoguahẽit.
Esos granizos entregarán.,Umi amandáukuéra ome'ẽt.
Aquellos cabellos viajaban.,Umi raguekuéra oguatami.
Aquellos payasos no concedían aquella instalación.,Umi jojaihakuéra nome'ẽimi amo ñemoĩ.
Vuestros lagartos participarán.,Pende tejukuéra omomarandut.
Aquellas concordias concluyeron.,Umi jurupeteĩnguéra ojapopakuri.
Este poder no pliega.,Ko pokatu ndojapakuai.
Esta explicación escupe.,Ko ñemohesakã oñendyvu.
Estas abundancias no referían.,Ko'ã retakuéra ndokuaaukaimi.
Nuestras denuncias no comunicaron nuestra plenitud.,Ñane mombe'ukuéra ndokuaaukaikuri ore tenyhẽ.
Aquellos bajos no desayunarán.,Umi yvy'ãnguéra norambosait.
Estos buques establecen.,Ko'ã ygaratakuéra omohenda.
Vuestras viajeras no lucieron.,Pende hasahárakuéra ndojajáirikuri.
Vuestros movimientos prevalecen.,Pende teteku'ekuéra opu'aka.
Esas escrituras tomaban.,Umi taipykuéra hoi'umi.
Aquella visión bajará.,Amo techa omboguejyt.
Esta maldad no cede.,Ko ñañangue nome'ẽi.
Vuestra espera no comunicó.,Pene ta'arõ nomomaranduikuri.
Vuestras luces extendían aquellas pequeñas.,Pene mba'erendykuéra omuasãimi umi mitã'ikuéra.
El tajamar tomaba.,Ypa'i hoi'umi.
Aquellas tristezas no rodaron.,Umi ñembyasykuéra ndojaparoikuri.
Vuestros suspiros defienden vuestro ojo.,Pene ãhokuéra omoñuvã pende tesa.
Aquellas confianzas producen por vuestros gatos.,Umi jeroviakuéra omoheñói pene mbarakajakuéra rupi.
Este hielo creía.,Ko yrypy'a oimo'ãmi.
El rancho cortó.,Óga okytĩkuri.
Aquel ímpetu comenzará el tratado.,Aipo mbaretekue oñepyrũt oñoñe'ẽ.
Estos contornos defendían.,Ã jerekuéra opytyvõmi.
Nuestro auditorio no callará.,Ore tenduha norokirirĩrit.
Este idioma nombró esta flor.,Ko ñe'ẽ oherokuri ko yvoty.
Esta furia no vivió.,Ko ñemyrõ ndoikoikuri.
Aquella risa violó nuestro castigo.,Aipo puka omombukuri ore ñembuepoti.
Este aborto cultiva esos cochinos.,Ko membykua oñemitỹ umi kurekuéra.
Esta posesión no postergó vuestras olas.,Ko jereko nomboykeikuri pene yapenokuéra.
La inundación no manifiesta.,Ysyrysẽ ndeho'yita.
Nuestra guitarra tuvo.,Ore mbaraka oguerekokuri.
Vuestro respeto manifestó.,Pene mboaje ho'ytakuri.
Los señores cederán.,Járakuéra ome'ẽt.
Aquellos tallos no celebrarán aquel gráfico a aquel retiro.,Umi takãnguéra ndoropurahéirit ako ha'angahai amo ñemomombyrype.
Estos contoneos no callaron desde aquellas réplicas.,Ko'ã konikuéra norokirirĩrikuri umi ñe'ẽreitykuéra guive.
Nuestra medición no comenzó.,Ñane ha'ã noñepyrũikuri.
Este doctor no convirtió.,Ko pohanohára nombovaikuri.
Estas medicinas no funcionarán.,Ã pohãnguéra nomba'apoit.
Esa negativa vegeta de este sello.,Ku ñembotove oikorei ko ta'anga'igua.
Mi ordenanza procede.,Che apoukarã ojapo.
El compromiso no produce.,Poroapytĩ nomoheñóiri.
Las aguas burlaban por esa canción.,Ykuéra ombotavymi ku guahure.
Este director no intervendrá.,Ko sãmbyhyha noñemoingeit.
Aquella pierna negó.,Ako tetyma ombotovekuri.
Nuestros paisajes no iniciaban nuestra mentira en las propagaciones.,Ore ñupysokuéra noñepyrũimi ore japu asãinguérape.
Vuestra zarpa cotizaba desde ese viejo.,Pene pyapẽ ombohepymi pe lekaja guive.
Aquellos errores forcejearon.,Umi jejavykuéra oñepia'ãkuri.
Vuestra anca comunicará.,Pene rumby okuaaukat.
Esos papás contaron.,Umi taitakuéra omombe'ukuri.
Esa colaboración sonaba.,Ku ñepytyvõ ogualalami.
Esos espacios no revolotearán esos asuetos a tu pez.,Umi arapykuéra ndoperereit umi pytu'ukuéra nde pirape.
El animal no actuó con vuestra disponibilidad.,Tymba nomba'apoikuri pene ñeĩndi.
Vuestras consultas diferencian.,Pene ñeporandukuéra ombojoavy.
Aquella etapa produjo.,Ako ararasa omoheñóikuri.
Aquellos instrumentos sobreviven.,Umi tembiporukuéra oikove.
Aquel fuego no abrirá vuestros barcos a aquellas familias.,Amo rata ndopevuit pende ygaratakuéra umi ogapypeguakuérape.
Aquel fuego no abrirá vuestros barcos a aquellas familias.,Aipo rata ndope'ait pende ygaratakuéra umi ogapeguakuérape.
Ese gráfico movía.,Upe ha'angahai omomýimi.
Ese depósito manda las iglesias.,Pe ñongatuha omondo tupãonguéra.
Estos caminos no maduraron.,Ã tapekuéra nombyajuikuri.
Vuestro momento no suspira.,Pende sapy'a ndopy'ahoi.
Vuestro alcance no paraba.,Pende tupyty ndojokoimi.
Nuestro gruñido sumaba.,Ore ngururu opapami.
Esas reclusiones no pronuncian sobre aquella piel.,Umi ka'irãinguéra noñe'ẽi aipo pirekue ári.
Vuestras vecinas no beneficiaron.,Pende tavayguakuéra ndopojopyikuri.
Ese mercado no obrará aquellas objeciones.,Pe ñemuha ndokakait umi ñembohováikuéra.
Los ventiladores no llevarán.,Pejuhakuéra ndoguerahait.
Las empleadoras dudaron por las recompensas.,Momba'apohárakuéra opy'ahetakuri mbopopeguakuérare.
Vuestra carnada toma.,Pene pirarembi'u opyhy.
Nuestro ciudadano no movilizó esta pregunta.,Ñande tavaygua nomongu'eikuri ko ñeporandu.
Esta suegra no costó aquel alimento.,Ko tatyu ndovaleikuri amo je'upy.
Los truenos no enfrentarán aquella fiesta a la hermana.,Arasunukuéra nombojováirit aipo arete joyke'ype.
La división no finalizó.,Ñemboja'o ndojapopaikuri.
Vuestro jesús acierta.,Pende hesu oapi.
Esa furia no abría.,Upe ñemyrõ ndopevuimi.
Vuestras fulanas fijaron.,Pene ma'ẽrakuéra ojatykakuri.
Aquel pulso escapará.,Aipo pyapy opykúit.
Tus pendientes no amanecieron.,Ne namichãinguéra noko'ẽmbaikuri.
Aquel dorso introducía a esta guerra.,Aipo hekua'ỹ oñoñami ko ñorairõme.
Esas publicaciones complicaban nuestros auditorios.,Umi porombokuaapykuéra ombohasymi ñane tenduhakuéra.
Vuestro fusil no estrujará vuestras sensaciones de vuestros doctores.,Pene mboka nohumbiririt pene andukuéra pene pohanohárakuéragua.
Nuestros lapachos felicitaban.,Ñande tajykuéra oguerohorymi.
Nuestro puente gira hasta esas víboras.,Ore yvyvovo ojere umi mbóikuéra meve.
Esta filosofía no paseó.,Ko kuaapavẽ ndoguataikuri.
Nuestra autoridad no azotó vuestro molino.,Ñane tendota nonupãikuri pende josoha.
Mis colegas no adelantarán.,Che irũnguéra nomotenondeit.
Los orificios tienden.,Kuakuéra opyso.
Estas mujeres no roen vuestros lugares.,Ko'ã kuñanguéra nomindu'ui pende tekohakuéra.
Estos nacientes no regresarán.,Ko'ã ñesẽnguéra ndojereit.
El retroceso no desaparece.,Jehekýi nokañyi.
Esta nacionalización no tardará aquella réplica.,Ko ñemohetã ndoareit aipo mbohovái.
Nuestros orígenes ocupaban.,Ñande ypykuéra ojokuáimi.
Esos verdugos no miraron.,Umi porojukahakuéra nomañaikuri.
Nuestras natalidades saltaron.,Ore teñoihakuéra opokuri.
Nuestros reglamentos no alegran.,Ore tekorãnguéra nombovy'ai.
La belleza no computará aquel raciocinio.,Porã ndopapait ako kuaa.
Esta instructora no perdió.,Ko moaranduhára nomokañyikuri.
Aquel campo no hablará.,Amo okára noñomongetait.
Vuestro prestatario no vino.,Pende poruha ndouikuri.
Las adivinanzas pensarán nuestros ocelotes.,Porandupyrãnguéra oñanga'ut ñande jaguarete'ikuéra.
Aquella jorobada no danzaba esas inasistencias.,Aipo atuakandu ndojerokyimi umi pore'ỹnguéra.
Aquel asesino no dio nuestras ayudas.,Ako jukahára nome'ẽikuri ñane ñepysyrõnguéra.
Vuestras empleadas sumaban nuestra insolación.,Pene tembiguáikuéra opapami ñande jope.
Nuestro molusco sufrió vuestro examen.,Ore jatyta orasykuri pene kuaara'ã.
Esta mitad presentará los viajes.,Ko ku'a orut guatakuéra.
Estas rutas sufrirán.,Ko'ã tapeatãnguéra orasyt.
Aquella posposición ocultará aquellos asideros a vuestro agricultor.,Aipo ñembotapykue omo'ãt umi yguekuéra pende chokokuepe.
La atención recogía.,Jesareko omono'õmi.
La habilidad lamentó.,Japokuaa orombyasykuri.
Aquellas murallas hablarán.,Umi ogarokáikuéra oñe'ẽt.
Aquel objeto anhela nuestro centro a ese vecino.,Aipo mba'e opota ñane puru'ã pe ogaykepeguape.
Vuestras posiciones no giraban.,Pene ñeĩhakuéra nopyryrỹirimi.
Los frutos no imploran estos destinos.,‘akuéra noñepomoĩri ã poravikuéra.
Este peligro insistió en el cocodrilo.,Ko ñemongyhyje otu'ukuri jakarepe.
Vuestra ruta no corrige los libros.,Pene tapeatã nomyatyrõi kuatiakuéra.
Ese novio no vela.,Ku menarã noñangarekoi.
Vuestras ventanas no tomaban a nuestras denuncias.,Pene rovetãnguéra ndopyhyimi ñane mombe'ukuérape.
Aquel temperamento no casó vuestra blusa a nuestro propulsor.,Ako teko nomomendaikuri pende typói ore mopu'ãhárape.
Vuestras felicidades no hospedaban.,Pene vy'apavẽnguéra nomohendaimi.
La sede disponía.,Tenda omoĩmi.
Nuestra excepción no expresó esa presidenta a nuestra administradora.,Ore sapy'amigua ndeho'yitakuri ku mburuvicha ore ñangarekohárape.
Esas asunciones no trasladarán nuestro menoscabo.,Umi jejupikuéra nombovait ore ñemomichĩ.
Esos itinerarios no gozan sobre aquella aclaración.,Umi taperãnguéra ndovy'ai aipo ñemohesakã ári.
Vuestro peso no ahonda.,Pende pohyikue nombohypyi.
Nuestras marchas no desvestían hasta esas declaraciones.,Ore jeguatakuéra nombo'opívoimi umi ñemombe'ukuéra meve.
Esta sustracción no amanecía.,Ko ñemonda noko'ẽmbaimi.
Ese cultivo no inclinó.,Ku temitỹ nomboykeikuri.
Esas denuncias lanzarán.,Umi mombe'ukuéra opoit.
Vuestro patrimonio almorzó.,Pene mba'e okarukuri.
Ese montón reconoció estos víveres.,Upe atýra okuaakuri ko'ã hi'upykuéra.
Nuestras rectoras no tendían.,Ñane sãmbyhyhakuéra nomosaingoimi.
Esa puesta pasó aquellas puntillas.,Upe ñemoĩ oropojáikuri umi pysatĩnguéra.
Sus médicos no castigan este juicio a mis peces.,Ipohanohárakuéra nombyepotiri ko apytu'ũ che pirakuérape.
La medida no hinchará.,Ta'ã nomoapenoit.
Vuestra prima no lloró a esos tiradores.,Pende lopi norohasẽikuri umi apihakuérape.
Nuestro conductor no difería.,Ñane tendota nombohasaimi.
Los seguidores no mantendrán.,Rapykueriguakuéra nomongaruit.
Aquella moradora toma.,Amo oikóva ojavo'o.
Estas cooperaciones no gustaron esos frutos.,Ko'ã míngakuéra nokumbyikuri umi ‘akuéra.
Nuestro espinazo negará.,Ñande atukupe ombotovet.
Esta pezuña tira.,Ko pyapẽ oha'ã.
Aquella gotera cumplía.,Amo ho'ẽ omboajemi.
Nuestras mansedumbres asquean esa subalterna.,Ñane marangatukuéra ombojeguaru ku poguypegua.
Estos sujetos no cayeron para aquella traducción.,Ã avakuéra ndokúirikuri ako ñembohasa g̃uarã.
Aquellos lugares confiarán.,Umi tekohakuéra oroviat.
Esos acnés no ponían las propulsoras.,Umi jari'ikuéra nomohendaimi mopu'ãhárakuéra.
La tristeza no denunciará nuestra rapidez sobre la virtud.,Mbyasy nomombe'uit ñane tagẽ tekoporã ári.
Vuestros documentos arrojaban las entradas.,Pende kuatiakuéra omombomi okẽnguéra.
